factor_fs,frecuencia_muestreo_hz,error_espectral
0.25,12000,0.11721812189678865
0.5,24000,0.12970900864314922
0.75,36000,0.13122864359091632
1.0,48000,0.14163959705800014
1.25,60000,0.13524458664760175
1.5,72000,0.13739293145388562
1.75,84000,0.13702747245949323
2.0,96000,0.14163959705800014
